id,sub,ch,tid,text,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
319,BIOLOGY,Ecosystem,b10,Pyramid of energy is always:,Inverted,Upright,Both,Spindle-shaped,B,10% law: only 10% energy transferred upward. Always upright — thermodynamics.,12,14,250,Ecology,medium,2023,Energy=ALWAYS upright (10% law). Biomass=usually upright. Number=any shape.
320,BIOLOGY,Biodiversity,b10,Example of in-situ conservation:,Zoo,Botanical garden,National park,Seed bank,C,"In-situ=natural habitat: National parks, sanctuaries, biosphere reserves.",12,15,268,Biodiversity,easy,2022,"In-situ=in place=National park. Ex-situ=out of place=Zoo, seed bank."
321,BIOLOGY,Human Reproduction,b6,Acrosome in sperm derived from:,Mitochondria,Golgi apparatus,Endoplasmic reticulum,Nucleus,B,Acrosome=Golgi body. Contains hyaluronidase for egg penetration.,12,3,52,Reproduction,medium,2021,Acrosome=Golgi. Middle piece=mitochondria (energy). Tail=flagellum.
322,BIOLOGY,Microbes in Welfare,b8,Penicillin was discovered by:,Louis Pasteur,Alexander Fleming,Robert Koch,Edward Jenner,B,Fleming (1928): Penicillium mold killed bacteria on plate. First antibiotic.,12,10,175,Microbes,easy,,Fleming=Penicillin. Pasteur=Germ theory. Koch=TB. Jenner=Smallpox vaccine.
323,BIOLOGY,Biotechnology Principles,b9,Restriction endonucleases cut DNA at:,Random positions,Palindromic sequences,Only at ends,Single-stranded regions,B,Cut specific palindromic sequences. EcoRI cuts GAATTC.,12,11,196,Biotechnology,medium,2023,Restriction enzymes=molecular scissors. Palindrome reads same on both strands 5'→3'.
324,BIOLOGY,Biotechnology Applications,b9,Bt toxin kills insects by:,Poisoning food,Making holes in midgut,Blocking respiration,Affecting nerves,B,Bt toxin activated in alkaline insect gut → pores in midgut epithelium → lysis.,12,12,213,Biotechnology,hard,2022,Bt toxin=pro-toxin → activated in alkaline pH → pores in midgut → death. Safe for mammals.
325,BIOLOGY,Organisms & Populations,b10,Relationship that benefits both organisms:,Parasitism,Commensalism,Mutualism,Predation,C,"Mutualism (+/+): lichens, mycorrhiza, Rhizobium+legumes.",12,13,228,Ecology,easy,,+/+=Mutualism. +/-=Predation/Parasitism. +/0=Commensalism. -/-=Competition.
326,BIOLOGY,Plant Kingdom,b1,Dominant generation in bryophytes:,Sporophyte,Gametophyte,Both equal,Neither,B,"Bryophytes: gametophyte (haploid, n) is dominant independent generation. Sporophyte dependent.",11,3,50,Plant Kingdom,medium,,Bryophytes: gametophyte dominant (green plant you see). Pteridophytes/Angiosperms: sporophyte dominant.
327,BIOLOGY,Animal Kingdom,b1,Which is NOT characteristic of Arthropoda?,Jointed appendages,Exoskeleton,Open circulatory system,Notochord,D,"Notochord in Chordata, not Arthropoda. Arthropoda: jointed appendages, chitin exoskeleton, open circulation.",11,4,58,Animal Kingdom,easy,,Notochord=Chordata. Water vascular system=Echinodermata. Flame cells=Platyhelminthes.
328,BIOLOGY,Morphology of Plants,b2,Tap root system found in:,Wheat,Maize,Mango,Grass,C,Tap root (primary+secondary) = dicots. Fibrous root = monocots.,11,5,68,Morphology,easy,,Dicot=tap root. Monocot=fibrous root. Mango/mustard/gram=tap root. Wheat/grass=fibrous.
329,BIOLOGY,Structural Organisation,b2,Trachea is lined by:,Squamous epithelium,Cuboidal epithelium,Columnar epithelium,Ciliated epithelium,D,Ciliated columnar epithelium in trachea. Cilia sweep mucus upward.,11,7,103,Structural Organisation,medium,2021,Trachea=ciliated (sweeps mucus up). Alveoli=squamous (thin for gas exchange). Intestine=columnar.
330,BIOLOGY,Mineral Nutrition,b4,Which element is NOT a macronutrient in plants?,Nitrogen,Phosphorus,Zinc,Potassium,C,"Macronutrients: N, P, K, Ca, Mg, S, C, H, O. Zinc (Zn) is a micronutrient.",11,12,196,Mineral Nutrition,medium,,"Macro: C,H,O,N,P,K,Ca,Mg,S (9 elements). Micro: Fe,Mn,Cu,Zn,Mo,B,Cl,Ni (8 elements)."
331,BIOLOGY,Transport in Plants,b4,Water absorption in plants is mainly by:,Imbibition,Active transport,Osmosis,Diffusion,C,Water enters root hairs by osmosis (from high water potential in soil to low in root cells).,11,11,183,Transport in Plants,easy,,Water movement=osmosis (from high Ψw to low Ψw). Minerals=active transport.
332,BIOLOGY,Reproduction in Plants,b6,Double fertilization is a characteristic of:,Gymnosperms,Angiosperms,Bryophytes,Algae,B,Double fertilization: unique to angiosperms. One sperm+egg=zygote. Other sperm+2 polar nuclei=endosperm (3n).,12,2,28,Reproduction in Plants,medium,2023,Double fertilization=ONLY angiosperms. Siphonogamy=gymnosperms. Zygote+endosperm formed.
333,BIOLOGY,Human Health & Disease,b8,Malaria is caused by:,Bacteria,Virus,Protozoan,Fungus,C,Plasmodium (protozoan) causes malaria. Transmitted by female Anopheles mosquito.,12,8,155,Human Health,easy,,Malaria=Plasmodium (protozoa). Dengue=Virus (Aedes). Typhoid=Salmonella (bacteria). Ringworm=Fungus.
334,BIOLOGY,Strategies for Enhancement,b8,Totipotency means:,Ability of organism to regenerate,Ability of cell to develop into complete organism,Ability to reproduce asexually,Ability to form gametes,B,Totipotency: single cell can develop into complete organism. Basis of tissue culture. All cells have complete genome.,12,9,163,Biotechnology,medium,2022,Totipotent=total potential. Every cell has complete DNA. Basis of cloning and tissue culture.
