tid,subject,chapter,question,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
c16,CHEMISTRY,Alcohols Phenols,Dehydration of alcohol gives:,Alkane,Alkene,Ether,Aldehyde,B,Concentrated H2SO4 at 443K removes H2O to give alkene,12,7,-,Alcohols Phenols,easy,,At 413K gives ether (Williamson)
c16,CHEMISTRY,Alcohols Phenols,Which reacts fastest with Lucas reagent?,1-butanol,2-butanol,2-methyl-2-propanol,Methanol,C,Tertiary alcohol reacts immediately (turbidity in 5 min),12,7,-,Alcohols Phenols,easy,2022,
c16,CHEMISTRY,Alcohols Phenols,Kolbe reaction of phenol gives:,Anisole,Salicylic acid,Benzaldehyde,Picric acid,B,Phenol + NaOH then CO2 under pressure then acid = salicylic acid,12,7,-,Alcohols Phenols,medium,2018,Reimer-Tiemann gives salicylaldehyde
c17,CHEMISTRY,Aldehydes Ketones,Fehling test is positive for:,Ketones,Aromatic aldehydes,Aliphatic aldehydes,Both ketones and aldehydes,C,Fehling solution (Cu2+ tartrate) is reduced by aliphatic aldehydes to Cu2O (red ppt),12,8,-,Aldehydes Ketones,easy,2020,Benzaldehyde does NOT reduce Fehling
c17,CHEMISTRY,Aldehydes Ketones,Aldol condensation requires:,Alpha hydrogen,Beta hydrogen,Gamma hydrogen,No hydrogen,A,Alpha-H is abstracted by base to form enolate which attacks another carbonyl,12,8,-,Aldehydes Ketones,medium,,Formaldehyde has no alpha-H: Cannizzaro instead
c17,CHEMISTRY,Aldehydes Ketones,Clemmensen reduction uses:,Zn-Hg/HCl,LiAlH4,NaBH4,H2/Pd,A,Reduces C=O to CH2; acidic conditions. Wolff-Kishner uses NH2NH2/KOH (basic),12,8,-,Aldehydes Ketones,medium,2021,
c17,CHEMISTRY,Aldehydes Ketones,HCN addition to carbonyl is:,Electrophilic addition,Nucleophilic addition,Free radical,Elimination,B,CN- (nucleophile) attacks electrophilic carbon of C=O,12,8,-,Aldehydes Ketones,easy,2019,
c18,CHEMISTRY,Amines,Carbylamine test is given by:,Primary amine,Secondary amine,Tertiary amine,All amines,A,R-NH2 + CHCl3 + KOH gives isocyanide (foul smell),12,9,-,Amines,easy,,Only primary amines
c18,CHEMISTRY,Amines,Hinsberg reagent is:,Benzoyl chloride,Benzene sulphonyl chloride,Acetyl chloride,Tosyl chloride,B,C6H5SO2Cl; distinguishes 1/2/3 amines,12,9,-,Amines,medium,2020,1 amine: soluble in NaOH
c18,CHEMISTRY,Amines,Aniline is less basic than cyclohexylamine because:,It is aromatic,Lone pair delocalised into ring,Ring is electron donating,NH2 is bulky,B,Resonance of lone pair with benzene ring reduces availability for protonation,12,9,-,Amines,medium,2022,
c10,CHEMISTRY,Solutions,Elevation in boiling point is:,Inversely proportional to molality,Directly proportional to molality,Independent of solute,Depends on volume,B,Delta Tb = Kb x m; colligative property,12,1,-,Solutions,easy,2019,
c11,CHEMISTRY,Electrochemistry,Standard hydrogen electrode potential is:,1 V,0 V,-1 V,0.5 V,B,SHE is reference; assigned 0.00 V by convention,12,2,-,Electrochemistry,starter,,
c12,CHEMISTRY,Chemical Kinetics,Order of reaction can be:,Only integer,Only positive,Zero or fractional,Only whole number,C,Order is experimental; can be 0 1 1.5 2 etc,12,3,-,Chemical Kinetics,easy,2020,Molecularity is always whole number
c12,CHEMISTRY,Chemical Kinetics,Arrhenius equation relates rate constant to:,Concentration,Temperature,Pressure,Volume,B,k = Ae^(-Ea/RT); k increases with temperature,12,3,-,Chemical Kinetics,easy,,
