tid,subject,chapter,question,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
b5,BIOLOGY,Human Physiology,Normal human blood pH:,6.8,7.0,7.4,8.0,C,Slightly alkaline,11,18,-,Human Physiology,easy,2018,
b5,BIOLOGY,Human Physiology,Node called pacemaker of heart:,AV node,SA node,Bundle of His,Purkinje fibres,B,Sets 70-75 bpm rhythm,11,18,-,Human Physiology,starter,,
b5,BIOLOGY,Human Physiology,Major nitrogenous waste in humans:,Ammonia,Urea,Uric acid,Creatine,B,Ureotelic,11,19,-,Human Physiology,easy,2021,
b6,BIOLOGY,Reproduction,Site of fertilization in humans:,Uterus,Ampulla of fallopian tube,Cervix,Ovary,B,Ampullary-isthmic junction,12,3,-,Reproduction,easy,2019,
b6,BIOLOGY,Reproduction,Pollination by wind is called:,Entomophily,Anemophily,Hydrophily,Ornithophily,B,Anemo = wind,12,2,-,Reproduction,starter,,
b6,BIOLOGY,Reproduction,Endosperm in angiosperms is:,Haploid,Diploid,Triploid,Tetraploid,C,Triple fusion product,12,2,-,Reproduction,easy,2020,
b6,BIOLOGY,Reproduction,hCG hormone is secreted by:,Ovary,Placenta,Pituitary,Uterus,B,Pregnancy test marker,12,3,-,Reproduction,easy,,
b7,BIOLOGY,Genetics,Test cross is cross with:,Dominant parent,Recessive parent,F1,Any hybrid,B,Reveals unknown genotype,12,4,-,Genetics and Evolution,easy,,
b7,BIOLOGY,Genetics,Mendel dihybrid F2 ratio:,3:1,1:2:1,9:3:3:1,1:1,C,Independent assortment,12,4,-,Genetics and Evolution,starter,2018,
b7,BIOLOGY,Genetics,Colour blindness is:,Autosomal dominant,X-linked recessive,Y-linked,Autosomal recessive,B,More common in males,12,4,-,Genetics and Evolution,easy,,
b7,BIOLOGY,Genetics,Okazaki fragments are joined by:,Helicase,DNA ligase,Primase,Gyrase,B,Lagging strand sealing,12,5,-,Genetics and Evolution,medium,2021,
b7,BIOLOGY,Genetics,Transcription in eukaryotes by RNA polymerase II produces:,tRNA,rRNA,mRNA,snRNA only,C,hnRNA to mRNA,12,5,-,Genetics and Evolution,medium,,
b7,BIOLOGY,Genetics,Industrial melanism in peppered moth demonstrates:,Genetic drift,Natural selection,Mutation pressure,Gene flow,B,Darkforms favored post-industrialization,12,6,-,Genetics and Evolution,easy,2019,
b8,BIOLOGY,Human Welfare,Widal test diagnoses:,Malaria,Typhoid,TB,Dengue,B,Salmonella typhi antibodies,12,7,-,Biology Human Welfare,easy,,
b8,BIOLOGY,Human Welfare,Plasmodium is transmitted by:,Male Anopheles,Female Anopheles,Aedes,Culex,B,Female needs blood meal,12,7,-,Biology Human Welfare,starter,2020,
b8,BIOLOGY,Human Welfare,Antibodies are produced by:,T-cells,B-cells (plasma cells),Macrophages,RBCs,B,Humoral immunity,12,7,-,Biology Human Welfare,easy,,
b8,BIOLOGY,Human Welfare,Penicillin was discovered by:,Waksman,Fleming,Pasteur,Koch,B,From Penicillium notatum,12,8,-,Biology Human Welfare,starter,,
b9,BIOLOGY,Biotechnology,Molecular scissors in rDNA technology:,Ligase,Restriction endonuclease,Polymerase,Helicase,B,Cut at palindromic sites,12,9,-,Biotechnology,easy,2019,
b9,BIOLOGY,Biotechnology,PCR is used for:,Protein synthesis,DNA amplification,RNA splicing,Cell culture,B,Thermal cycling with Taq,12,9,-,Biotechnology,starter,,
b9,BIOLOGY,Biotechnology,Bt cotton is resistant to:,Fungi,Insects (bollworm),Drought,Herbicides,B,Cry genes from Bacillus thuringiensis,12,10,-,Biotechnology,easy,2021,
b9,BIOLOGY,Biotechnology,Golden rice is rich in:,Vitamin C,Vitamin A precursor,Iron,Protein,B,Beta-carotene enriched,12,10,-,Biotechnology,easy,,
b10,BIOLOGY,Ecology,Pyramid of energy is always:,Inverted,Upright,Spindle,Irregular,B,"10% law, energy decreases up",12,12,-,Ecology,easy,2018,
b10,BIOLOGY,Ecology,Which is a greenhouse gas?,N₂,CO₂,O₂,Ar,B,"Also CH₄, N₂O, CFCs",12,13,-,Ecology,starter,,
b10,BIOLOGY,Ecology,Decomposers are also called:,Producers,Saprotrophs,Autotrophs,Herbivores,B,Fungi and bacteria,12,12,-,Ecology,starter,,
b10,BIOLOGY,Ecology,Mycorrhiza is association between fungus and:,Algae,Roots of plants,Bacteria,Insects,B,Mutualism; P absorption,12,11,-,Ecology,easy,2022,
b10,BIOLOGY,Ecology,Ozone layer is in:,Troposphere,Stratosphere,Mesosphere,Exosphere,B,15-35 km altitude,12,13,-,Ecology,easy,,
b5,BIOLOGY,Human Physiology,Insulin is secreted by:,Alpha cells,Beta cells of islets,Delta cells,Acinar cells,B,Lowers blood glucose,11,19,-,Human Physiology,starter,2019,
b7,BIOLOGY,Genetics,Genotype ratio of Mendel monohybrid F2:,3:1,1:2:1,9:3:3:1,2:1,B,TT:Tt:tt,12,4,-,Genetics and Evolution,easy,,Phenotype is 3:1
b4,BIOLOGY,Plant Physiology,Opening of stomata is regulated by:,K⁺ ions in guard cells,Na⁺,Ca²⁺,Cl⁻ only,A,Turgor via K+ influx,11,11,-,Plant Physiology,medium,2020,
b3,BIOLOGY,Cell,Cell wall of fungi is made of:,Cellulose,Chitin,Peptidoglycan,Pectin,B,N-acetylglucosamine polymer,11,2,-,Cell Structure,easy,,
b6,BIOLOGY,Reproduction,Menstrual cycle ovulation occurs around day:,5,14,21,28,B,LH surge mid-cycle,12,3,-,Reproduction,easy,2021,
