id,sub,ch,tid,text,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
114,PHYSICS,Current Electricity,p12,Neutrons in ₂₀Ca⁴⁰:,20,40,18,22,A,Neutrons = A − Z = 40 − 20 = 20.,12,12,408,Nuclei,easy,,Neutrons = A − Z. Always.
115,PHYSICS,Magnetic Effects,p13,Charged particle moves parallel to B. Magnetic force:,qvB,Maximum,Zero,qvB/2,C,F = qvBsinθ. θ=0° (parallel) → F=0.,12,4,121,Magnetism,easy,2021,Parallel to B → F=0. Perpendicular to B → F=max=qvB.
116,PHYSICS,Electromagnetic Induction,p14,Lenz's law is consequence of:,Conservation of energy,Conservation of charge,Conservation of momentum,Newton's 3rd law,A,Induced current opposes change to conserve energy.,12,6,208,EMI,medium,2019,Lenz = Energy conservation in EM form.
117,PHYSICS,Ray Optics,p15,Critical angle depends on:,Wavelength only,Refractive indices of both media,Intensity,Speed in vacuum,B,sinC = n₂/n₁. Depends on refractive indices of both media.,12,9,322,Optics,medium,,sinC = 1/μ for air-medium. Higher μ → smaller C → easier TIR.
118,PHYSICS,Dual Nature,p16,Photoelectric effect proves light has:,Wave nature,Particle nature,Both,Neither,B,Photons (E=hν) cannot be explained by wave theory → particle nature.,12,11,382,Dual Nature,easy,2023,Photoelectric → particle. Diffraction/Interference → wave.
119,PHYSICS,Atoms,p17,Bohr's model: radius of nth orbit proportional to:,n,n²,1/n,1/n²,B,rn = n²a₀/Z. rn ∝ n².,12,12,400,Atoms,easy,2020,Radius ∝ n². Energy ∝ 1/n². Velocity ∝ 1/n. Angular momentum ∝ n.
120,PHYSICS,Semiconductors,p18,Depletion region in p-n junction has:,Free carriers,No free carriers,Free electrons only,Free holes only,B,Holes and electrons recombine → immobile ions remain. No free carriers.,12,14,474,Semiconductors,medium,,Depletion = depleted of carriers. Acts as insulator.
121,PHYSICS,Projectile Motion,p19,Horizontal range is maximum when angle is:,30°,45°,60°,90°,B,R = u²sin2θ/g. Max when sin2θ=1 → θ=45°.,11,4,67,Projectile,easy,2021,Max range at 45°. Equal range at complementary angles (30°=60°).
122,PHYSICS,Properties of Matter,p20,"Excess pressure inside soap bubble of radius r, surface tension T:",T/r,2T/r,4T/r,T/2r,C,Two surfaces → 4T/r. Single surface (drop): 2T/r.,11,10,242,Surface Tension,medium,2022,Bubble (2 surfaces): 4T/r. Drop/air bubble in liquid (1 surface): 2T/r.
123,PHYSICS,Current Electricity,p21,Kirchhoff's junction rule is based on:,Conservation of energy,Conservation of charge,Conservation of momentum,Ohm's law,B,ΣI = 0 at junction. Current in = Current out. Based on conservation of charge.,12,3,93,Current Electricity,easy,,Junction rule = charge conservation. Loop rule = energy conservation.
124,PHYSICS,Electromagnetic Waves,p22,Speed of electromagnetic waves in vacuum:,3×10⁶ m/s,3×10⁸ m/s,3×10¹⁰ m/s,3×10⁴ m/s,B,c = 3×10⁸ m/s for all EM waves in vacuum regardless of frequency.,12,8,278,EM Waves,easy,,c = 3×10⁸ m/s. All EM waves travel at same speed in vacuum.
125,PHYSICS,Wave Optics,p23,"In Young's double slit experiment, fringe width depends on:",Wavelength and slit separation,Intensity of light,Temperature,Distance between slits only,A,"β = λD/d. Fringe width ∝ λ (wavelength) and D (screen distance), inversely ∝ d (slit separation).",12,10,362,Wave Optics,medium,2022,β = λD/d. Increase λ or D → wider fringes. Increase d → narrower fringes.
