id,sub,ch,tid,text,opt_a,opt_b,opt_c,opt_d,correct,explanation,ncert_class,ncert_chapter,ncert_page,syllabus_unit,difficulty,pyq_year,trick
122,PHYSICS,Properties of Matter,p20,"Excess pressure inside soap bubble of radius r, surface tension T:",T/r,2T/r,4T/r,T/2r,C,Two surfaces → 4T/r. Single surface (drop): 2T/r.,11,10,242,Surface Tension,medium,2022,Bubble (2 surfaces): 4T/r. Drop/air bubble in liquid (1 surface): 2T/r.
125,PHYSICS,Wave Optics,p23,"In Young's double slit experiment, fringe width depends on:",Wavelength and slit separation,Intensity of light,Temperature,Distance between slits only,A,"β = λD/d. Fringe width ∝ λ (wavelength) and D (screen distance), inversely ∝ d (slit separation).",12,10,362,Wave Optics,medium,2022,β = λD/d. Increase λ or D → wider fringes. Increase d → narrower fringes.
203,CHEMISTRY,Chemical Bonding,c3,Shape of water molecule:,Linear,Trigonal planar,Bent (V-shaped),Tetrahedral,C,"sp³, 2 bond pairs + 2 lone pairs → bent. Bond angle 104.5°.",11,4,124,Chemical Bonding,easy,2020,"H₂O=bent(104.5°), NH₃=trigonal pyramidal(107°), CH₄=tetrahedral(109.5°)."
205,CHEMISTRY,Thermodynamics,c5,ΔH<0 and ΔS<0. Reaction is spontaneous:,All temperatures,High T,Low T,Never,C,"ΔG = ΔH − TΔS. At low T, TΔS small → ΔG negative → spontaneous.",11,6,180,Thermodynamics,hard,2023,ΔH− ΔS− → low T. ΔH+ ΔS+ → high T. Use ΔG = ΔH − TΔS.
206,CHEMISTRY,Equilibrium,c6,Increasing pressure on N₂+3H₂⇌2NH₃:,Shifts left,Shifts right,No effect,Raises T,B,4 moles gas → 2 moles. Higher P → fewer moles side (right) → more NH₃.,11,7,204,Equilibrium,medium,2022,High P → fewer moles side. Haber process uses this.
208,CHEMISTRY,Chemical Kinetics,c8,Half-life of first order reaction is independent of:,Rate constant,Temperature,Initial concentration,Activation energy,C,t½ = 0.693/k. Depends on k but NOT on initial concentration.,12,4,105,Chemical Kinetics,medium,2023,First order: t½ = 0.693/k (concentration independent). Zero order: t½ depends on [A₀].
212,CHEMISTRY,p-Block Elements,c12,Strongest hydrohalic acid:,HF,HCl,HBr,HI,D,Acid strength ∝ 1/(H-X bond strength). Bond strength F>Cl>Br>I. So HI > HBr > HCl > HF.,12,7,210,p-Block,medium,2021,HI strongest acid. HF weakest acid but strongest bond. Electronegativity ≠ acid strength.
216,CHEMISTRY,GOC,c16,Stability of carbocations:,3°>2°>1°>CH₃⁺,CH₃⁺>1°>2°>3°,1°>2°>3°,All equal,A,More alkyl groups → more hyperconjugation → more stable.,11,13,361,General Organic Chemistry,medium,2022,Carbocation stability: 3°>2°>1°>methyl. Carbanion: reverse. Radical: 3°>2°>1°.
217,CHEMISTRY,Haloalkanes,c17,SN2 reaction: nucleophile attacks from:,Same side as leaving group,Opposite side,Either side,Top,B,SN2 = backside attack = Walden inversion. 180° approach.,12,10,296,Haloalkanes,hard,2023,SN2 = backside = inversion. SN1 = carbocation = racemization. 3° prefers SN1.
219,CHEMISTRY,Aldehydes & Ketones,c19,Test that distinguishes aldehydes from ketones:,Lucas test,Tollens test,Iodoform test,Baeyer's test,B,Tollens (ammoniacal AgNO₃) → silver mirror with aldehydes only.,12,12,344,Carbonyls,easy,2021,Tollens=silver mirror=aldehyde. Iodoform=CHI₃=CH₃CO- group.
220,CHEMISTRY,Biomolecules,c20,Vitamin deficiency causing Scurvy:,Vitamin A,Vitamin B₁₂,Vitamin C,Vitamin D,C,Vitamin C (ascorbic acid) → collagen synthesis. Deficiency = scurvy.,12,14,408,Biomolecules,easy,2020,"A=Night blindness, B₁=Beriberi, C=Scurvy, D=Rickets, K=Bleeding."
221,CHEMISTRY,Polymers,c21,"Nylon-6,6 monomers:",Hexamethylene diamine + adipic acid,Caprolactam,Ethylene glycol + terephthalic acid,Styrene,A,"""6,6"" = 6 carbons in each monomer (diamine + diacid).",12,15,428,Polymers,medium,2022,"Nylon-6,6=2 monomers(6C each). Nylon-6=caprolactam. Dacron=glycol+terephthalic acid."
223,CHEMISTRY,Solutions,c23,Elevation of boiling point is a _________ property:,Additive,Colligative,Constitutive,Intensive,B,"Colligative properties depend on number of solute particles, not their nature: ΔTb, ΔTf, osmotic pressure, relative lowering of VP.",12,2,44,Solutions,easy,2021,"4 colligative properties: ΔTb, ΔTf, osmotic pressure, relative lowering of VP. All depend on number of particles."
301,BIOLOGY,Cell: Unit of Life,b1,"Which organelle is the ""powerhouse of the cell""?",Ribosome,Mitochondria,Lysosome,Golgi Apparatus,B,Mitochondria produce ATP via oxidative phosphorylation. Inner membrane = cristae.,11,8,135,Cell Organelles,easy,2022,Mito=powerhouse. Ribosome=protein factory. Golgi=post office. Lysosome=suicidal bag.
303,BIOLOGY,Biomolecules,b2,Which is NOT a reducing sugar?,Glucose,Fructose,Sucrose,Maltose,C,Sucrose: glycosidic bond between anomeric carbons of both → no free reducing group.,11,9,155,Biomolecules,medium,2023,"Non-reducing: Sucrose, Trehalose. All monosaccharides = reducing. Most disaccharides = reducing EXCEPT sucrose."
304,BIOLOGY,Molecular Basis,b3,DNA replication is semi-conservative because:,Both strands new,One old + one new strand,Two forks,Polymerase conserves energy,B,Meselson-Stahl (1958): each daughter DNA has one parental + one new strand.,12,6,108,Molecular Basis of Inheritance,medium,2024,"Semi = half old, half new. Proved by Meselson-Stahl using ¹⁵N/¹⁴N."
305,BIOLOGY,Cell Division,b4,Crossing over occurs at which stage of meiosis:,Leptotene,Zygotene,Pachytene,Diplotene,C,Crossing over at Pachytene of Prophase I. Chiasmata visible at Diplotene.,11,10,180,Cell Division,hard,2022,"LZPDD: Leptotene, Zygotene, Pachytene (crossing over!), Diplotene, Diakinesis."
306,BIOLOGY,Photosynthesis,b5,C4 plants avoid photorespiration because:,No rubisco,CO₂ concentrated around rubisco,Different light reactions,More chlorophyll,B,Kranz anatomy: CO₂ concentrated in bundle sheath → rubisco works efficiently.,11,13,223,Photosynthesis,hard,2021,C4=Corn/Sugarcane/Sorghum. Kranz anatomy+CO₂ pump=no photorespiration.
307,BIOLOGY,Photosynthesis,b5,Site of light reactions in chloroplast:,Stroma,Thylakoid membrane,Outer membrane,Intermembrane space,B,Light reactions: thylakoid membranes. Calvin cycle (dark): stroma.,11,13,212,Photosynthesis,easy,2023,"Light=Thylakoid. Dark (Calvin)=Stroma. Remember L-T, D-S."
308,BIOLOGY,Respiration,b6,Glycolysis occurs in:,Mitochondrial matrix,Cytoplasm,Nucleus,Chloroplast,B,Glycolysis in cytoplasm. No O₂ needed. 1 glucose → 2 pyruvate + 2 ATP (net).,11,14,234,Respiration,easy,2020,Glycolysis=Cytoplasm. Krebs=Mitochondrial matrix. ETC=Inner mitochondrial membrane.
309,BIOLOGY,Plant Growth,b7,Apical dominance caused by:,Cytokinin,Gibberellin,Auxin,Ethylene,C,Auxin from shoot apex suppresses lateral bud growth.,11,15,255,Plant Growth Regulators,medium,2022,Auxin=apical dominance. Cytokinin=lateral growth (opposes auxin). Gibberellin=stem elongation.
310,BIOLOGY,Digestion & Absorption,b8,Pepsin is secreted by:,Chief cells,Parietal cells,Goblet cells,G-cells,A,Chief (peptic) cells → pepsinogen → pepsin (activated by HCl). Parietal/oxyntic cells → HCl.,11,16,264,Digestion,medium,2021,Chief=pepsinogen. Parietal=HCl+Intrinsic factor. Goblet=mucus. G-cells=gastrin.
312,BIOLOGY,Body Fluids & Circulation,b10,Pacemaker of the heart is:,AV node,SA node,Bundle of His,Purkinje fibres,B,"SA node (right atrium): 70-75 bpm, natural pacemaker.",11,18,294,Circulation,easy,2023,SA node=pacemaker=right atrium. AV=40-60 bpm backup. His/Purkinje=20-40 bpm.
313,BIOLOGY,Excretory Products,b11,Functional unit of kidney:,Glomerulus,Nephron,Loop of Henle,Bowman's capsule,B,Nephron = structural + functional unit. ~1 million per kidney.,11,19,307,Excretion,easy,2022,Nephron=kidney unit. Neuron=nerve unit. Sarcomere=muscle unit.
315,BIOLOGY,Neural Control,b13,Myelin sheath in PNS produced by:,Astrocytes,Oligodendrocytes,Schwann cells,Microglia,C,PNS: Schwann cells. CNS: Oligodendrocytes. Astrocytes=structural. Microglia=immune.,11,21,338,Neural Control,medium,2022,PNS myelin=Schwann. CNS myelin=Oligodendrocytes. Schwann also helps nerve regeneration.
316,BIOLOGY,Principles of Inheritance,b14,ABO blood group is example of:,Dominance,Codominance and multiple allelism,Incomplete dominance,Epistasis,B,"3 alleles (Iᴬ,Iᴮ,i) = multiple allelism. AB group = codominance.",12,5,98,Genetics,medium,2023,ABO=codominance+multiple allelism. Sickle cell=codominance. 4 o'clock plant=incomplete dominance.
317,BIOLOGY,Molecular Basis,b15,Central dogma states:,RNA→DNA→Protein,DNA→RNA→Protein,Protein→DNA→RNA,DNA→Protein→RNA,B,Transcription: DNA→RNA. Translation: RNA→Protein. Reverse transcription: RNA→DNA (retroviruses).,12,6,110,Molecular Basis,easy,2024,DNA→RNA→Protein. HIV uses reverse transcriptase for RNA→DNA.
318,BIOLOGY,Evolution,b16,Hardy-Weinberg equilibrium requires:,Mutations,Natural selection,"Large population, random mating",Genetic drift,C,"5 conditions: large population, random mating, no mutation, no selection, no gene flow.",12,7,137,Evolution,hard,2022,p²+2pq+q²=1. Five conditions for equilibrium. Violations = evolution occurring.
319,BIOLOGY,Ecosystem,b17,Pyramid of energy is always:,Inverted,Upright,Both,Spindle-shaped,B,10% law: only 10% energy transferred upward. Always upright — thermodynamics.,12,14,250,Ecology,medium,2023,Energy=ALWAYS upright (10% law). Biomass=usually upright. Number=any shape.
320,BIOLOGY,Biodiversity,b18,Example of in-situ conservation:,Zoo,Botanical garden,National park,Seed bank,C,"In-situ=natural habitat: National parks, sanctuaries, biosphere reserves.",12,15,268,Biodiversity,easy,2022,"In-situ=in place=National park. Ex-situ=out of place=Zoo, seed bank."
321,BIOLOGY,Human Reproduction,b19,Acrosome in sperm derived from:,Mitochondria,Golgi apparatus,Endoplasmic reticulum,Nucleus,B,Acrosome=Golgi body. Contains hyaluronidase for egg penetration.,12,3,52,Reproduction,medium,2021,Acrosome=Golgi. Middle piece=mitochondria (energy). Tail=flagellum.
323,BIOLOGY,Biotechnology Principles,b21,Restriction endonucleases cut DNA at:,Random positions,Palindromic sequences,Only at ends,Single-stranded regions,B,Cut specific palindromic sequences. EcoRI cuts GAATTC.,12,11,196,Biotechnology,medium,2023,Restriction enzymes=molecular scissors. Palindrome reads same on both strands 5'→3'.
324,BIOLOGY,Biotechnology Applications,b22,Bt toxin kills insects by:,Poisoning food,Making holes in midgut,Blocking respiration,Affecting nerves,B,Bt toxin activated in alkaline insect gut → pores in midgut epithelium → lysis.,12,12,213,Biotechnology,hard,2022,Bt toxin=pro-toxin → activated in alkaline pH → pores in midgut → death. Safe for mammals.
329,BIOLOGY,Structural Organisation,b27,Trachea is lined by:,Squamous epithelium,Cuboidal epithelium,Columnar epithelium,Ciliated epithelium,D,Ciliated columnar epithelium in trachea. Cilia sweep mucus upward.,11,7,103,Structural Organisation,medium,2021,Trachea=ciliated (sweeps mucus up). Alveoli=squamous (thin for gas exchange). Intestine=columnar.
332,BIOLOGY,Reproduction in Plants,b30,Double fertilization is a characteristic of:,Gymnosperms,Angiosperms,Bryophytes,Algae,B,Double fertilization: unique to angiosperms. One sperm+egg=zygote. Other sperm+2 polar nuclei=endosperm (3n).,12,2,28,Reproduction in Plants,medium,2023,Double fertilization=ONLY angiosperms. Siphonogamy=gymnosperms. Zygote+endosperm formed.
334,BIOLOGY,Strategies for Enhancement,b32,Totipotency means:,Ability of organism to regenerate,Ability of cell to develop into complete organism,Ability to reproduce asexually,Ability to form gametes,B,Totipotency: single cell can develop into complete organism. Basis of tissue culture. All cells have complete genome.,12,9,163,Biotechnology,medium,2022,Totipotent=total potential. Every cell has complete DNA. Basis of cloning and tissue culture.
